Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year)
LAFARGE BRASIL S.A 05 - MG;Portland cement;-19.530527;-44.093638;1.633333333;2.877777778;2.255555556
LAFARGE BRASIL S.A 06 - MG;Portland cement;-16.704932;-43.894976;1.633333333;2.877777778;2.255555556
LAFARGE BRASIL S.A 07 - MG;Portland cement;-20.293813;-45.551920;1.633333333;2.877777778;2.255555556
LAFARGE BRASIL S.A 08 - RJ;Portland cement;-21.979968;-42.362822;1.633333333;2.877777778;2.255555556
LAFARGE BRASIL S.A 09 - SP;Portland cement;-23.995618;-48.866156;1.633333333;2.877777778;2.255555556
CIA DE CIMENTOS ITAMBÉ - PR;Portland cement;-25.576212;-49.644689;2.73;4.81;3.77
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 01 - BA;Portland cement;-14.186072;-41.666985;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 02 -SP;Portland cement;-24.702021;-48.116842;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 03 - BA;Portland cement;-10.517069;-40.329912;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 04 - RS;Portland cement;-31.307315;-54.111791;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 05 -GO;Portland cement;-16.976296;-49.769378;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 06 - PB;Portland cement;-7.161428;-34.921599;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 07 - RS;Portland cement;-29.845837;-51.268496;3.309074213;5.830273613;4.569673913
 CCB-CIMPOR CIMENTOS DO BRASIL LTDA 08 -AL;Portland cement;-9.773040;-36.109813;3.309074213;5.830273613;4.569673913
CIMENTOS NASSAU 01 - PI;Portland cement;-7.080009;-40.468117;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 02 -MA;Portland cement;-4.475265;-43.883534;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 03 -RN;Portland cement;-5.123838;-37.279412;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 03 -PE;Portland cement;-8.011154;-34.909033;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 04 -SE;Portland cement;-10.852390;-37.125244;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 05 -ES;Portland cement;-20.855907;-41.130535;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 06 -CE;Portland cement;-7.298959;-39.303019;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 10 -PA;Portland cement;-1.207739;-47.170325;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 07 -AM;Portland cement;-3.056088;-59.849599;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 08 -PA;Portland cement;-4.267029;-56.007272;1.493333333;2.631111111;2.062222222
CIMENTOS NASSAU 09 -PA;Portland cement;-1.429743;-48.438010;1.493333333;2.631111111;2.062222222
HOLCIM BRASIL S.A. - CIMENTO – CANTAGALO -RJ;Portland cement;-21.977067;-42.286139;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO – DIVINÓPOLIS -MG;Portland cement;-20.160727;-44.892032;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO – GUARUJÁ -SP;Portland cement;-23.959117;-46.255982;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO - JUIZ DE FORA -MG;Portland cement;-21.753143;-43.389390;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - AGREGADOS – MAGÉ -RJ;Portland cement;-22.653680;-43.052561;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - AGREGADOS – MAIRIPORÃ - SP;Portland cement;-23.336447;-46.586311;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CIMENTO - PEDRO LEOPOLDO -MG;Portland cement;-19.624273;-44.040915;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO - POUSO ALEGRE - MG;Portland cement;-22.231076;-45.920249;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO - RIBEIRÃO PRETO -SP;Portland cement;-21.178525;-47.868254;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO - SÃO JOSÉ DOS CAMPOS -SP;Portland cement;-23.208757;-45.926235;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CONCRETO - SÃO VICENTE -SP;Portland cement;-23.959126;-46.423138;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CIMENTO – VITÓRIA -ES;Portland cement;-20.242077;-40.238906;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - AGREGADOS – SOROCABA -SP;Portland cement;-23.484882;-47.468896;0.78;1.374285714;1.077142857
HOLCIM BRASIL S.A. - CIMENTO – SOROCABA -SP;Portland cement;-23.475375;-47.486575;0.78;1.374285714;1.077142857
CIPLAN CIMENTO 01 -SP ;Portland cement;-21.180156;-47.846477;0.42;0.74;0.58
CIPLAN CIMENTO 02 -MG;Portland cement;-19.727424;-47.957490;0.42;0.74;0.58
CIPLAN CIMENTO 03 -MG;Portland cement;-18.862349;-48.283316;0.42;0.74;0.58
CIPLAN CIMENTO 04 -SP;Portland cement;-16.402601;-48.934383;0.42;0.74;0.58
CIPLAN CIMENTO 04 -GO;Portland cement;-17.740948;-48.637597;0.42;0.74;0.58
CIPLAN CIMENTO 05 -GO;Portland cement;-16.708853;-49.205520;0.42;0.74;0.58
CIPLAN CIMENTO 06 -GO;Portland cement;-16.064671;-47.965549;0.42;0.74;0.58
CIPLAN CIMENTO 07 -MT;Portland cement;-15.654575;-55.992037;0.42;0.74;0.58
